quarter,ITAEE_Nacional,ITAEE_Aguascalientes,ITAEE_Durango,ITAEE_Querétaro,ITAEE_San Luis Potosí,ITAEE_Zacatecas,FX_USD,FX_CAD,FX_BRL,FX_JPY,FX_CNY,FX_COP,FX_CLP,FX_RUB,FX_ILS,FX_EUR,FX_INR
2007Q2,83.9025954843863,64.6641627272263,77.7300989269087,72.8333203861151,67.9320471903778,70.941841869894,10.86561387869028,9.902226081261269,5.579500007629394,0.09001476936615431,1.417101249259105,0.005555022943582252,0.021279496086913534,0.4203341003965587,2.6622224219384383,14.650313503700428,0.26478625822580354
2007Q4,84.6738966502369,66.3244452363577,82.6638288420909,72.3399168956496,70.3311522829413,73.9029633239104,10.838721466064452,11.051015675067902,6.067426080289095,0.0957315624691546,1.4600973165164255,0.0054624338869065,0.022006919143656534,0.4397218380755153,2.752025852295983,15.695815354143855,0.27558282494315944
2008Q1,81.3252491040219,63.3141147556015,79.641676702402,71.6251926531869,69.8997531483655,69.3112524733789,10.795858441866361,10.740999984741212,6.2045091922466575,0.10253484372515231,1.5092171077819336,0.005744110453855166,0.023746989940547632,0.44555085077291146,2.985375965221051,16.21788684423482,0.2721897243491706
2008Q2,85.7175026589675,66.8530101042341,83.0174499337165,73.1664239462588,71.8241839691637,74.111398947472,10.416407933310857,10.316730196513827,6.294565102410695,0.09955031684939823,1.4995437092056554,0.005992330638990624,0.022537494168433543,0.4411124838950816,3.054126335089981,16.284589602805667,0.2508886248190114
2008Q3,84.1062782103881,67.6097743131285,86.1753169014505,73.7304523460049,71.5045569831102,76.8328986145884,10.318279970609225,10.029404123624166,6.171500027179718,0.09590430752589152,1.5107738276049165,0.005531815937526437,0.02040060816388947,0.42734056858155034,3.0082548117729346,15.622822323656386,0.23616421946369417
2008Q4,83.9758118632726,65.4183417864754,85.46627493078,73.9728915744818,69.9881389248433,74.9836644849855,13.06723640904282,10.79165152347449,5.7174772638263125,0.13658909059383653,1.9137767787190079,0.005796937709894097,0.020768558714321657,0.47881848601120175,3.4350206959178924,17.307906661128534,0.268901934555878
2009Q1,76.039831975729,57.1301038103798,78.8567767522932,67.0520770141124,65.3820043417515,68.9550990700105,14.367050006985664,11.54300007224083,6.198014035820961,0.15341796819120646,2.1047403831844678,0.006016705536530822,0.02413727608042511,0.42494370057446956,3.5458010152048005,18.75297632537256,0.2894082880125822
2009Q2,77.3365209233535,58.7177569598781,81.6122149320052,67.293154782619,65.6006087820664,77.3040419585409,13.315387652470516,11.421599989670973,6.4170107621413015,0.13671800058621628,1.9523039443935524,0.006032616266344269,0.023945505028716656,0.41522809586327103,3.2817986491653603,18.1454552041955,0.27376946691395143
2009Q3,79.4559639785301,63.2280758404862,83.1913555184327,71.8760538265961,66.3683113557809,82.9704975755537,13.262089382518422,12.085030295632102,7.093424233523282,0.14183666669961179,1.944254934267853,0.006627369430675169,0.024757187868876138,0.42126196056312254,3.470621618478041,18.97137004657376,0.27457913415494634
2009Q4,82.4890061536309,65.7172821958809,86.0811835569281,74.4687993970804,69.4773416465131,82.8189053333524,13.053013642628988,12.360272682074344,7.490809093822133,0.14534560658714987,1.9149265570912928,0.006697420331856665,0.025670281754917965,0.4433891702502489,3.471322280608649,19.27799030965961,0.28046422746805694
2010Q1,79.7428486003873,63.2981951334109,79.8893899982927,71.2229774574036,67.481179377715,79.004880974454,12.760875582695007,12.267546877264977,7.073228120803833,0.14067140617407858,1.8710462129372543,0.0066091018643792,0.025097274973221752,0.42769834033650356,3.4230542246956084,17.662184876144508,0.2783930807019855
2010Q2,83.044034600416,65.2648287810188,84.1646159238042,74.4069160560782,71.0580072110304,85.6938384227685,12.56433844933143,12.215230736365685,6.991763085585374,0.1365832303579037,1.8438833917561164,0.006469732066604119,0.02417398728761851,0.41461774503005167,3.322167424253101,15.975815357784674,0.2759300342267847
2010Q3,83.5010556197359,69.287439418205,85.190212070471,79.9741886004431,71.2753696757902,90.8886193942201,12.7908698573257,12.307545416282885,7.296839381709243,0.14908136337092429,1.8920464951144518,0.0070324644820572045,0.0254691249987126,0.4185628750449366,3.374542982244076,16.52636318564576,0.2758198839233465
2010Q4,85.7908390332253,69.1170198089405,88.1228176446397,81.5125709275324,73.2245524582719,86.7557304713532,12.379012685833555,12.222212155659994,7.285195430119832,0.14994030332926547,1.8620814509775105,0.0066473211823712035,0.025915833346251544,0.4033715489957354,3.421643042901077,16.809005362075265,0.2766828558685563
2011Q1,82.8346875067675,66.9950884441576,84.5760248438787,78.2485136630136,71.7619792738544,80.1963945269327,12.052682861685753,12.229749977588654,7.223143748939037,0.14662015670910478,1.834445747208734,0.006452551859207316,0.02520772884506155,0.4126693609792705,3.358939840606642,16.48741168734506,0.2668482218237565
2011Q2,85.2547396688386,68.8668704990358,87.0964067877391,80.3126257587265,74.3699361719693,87.7673379053316,11.710358399611254,12.104312464594841,7.328628100454807,0.14359234413132071,1.8033741395760494,0.0065359815240886455,0.025110484806441666,0.4189547092903645,3.412568348157975,16.85411417737582,0.26236517851384544
2011Q3,86.7711911099157,70.761420437332,87.9766887984482,85.8732801504077,75.305908630437,88.7636429954512,12.330615159237023,12.55466669256037,7.5198272719527735,0.15829787900050482,1.9259957155401675,0.00690453908193731,0.02642287150275193,0.4241905262380677,3.4785295559187714,17.42068024428347,0.26972531031122104
2011Q4,89.1969121487124,73.3330830120034,93.0652631047919,88.3425543360676,77.2260794361522,90.7460117392419,13.645018430856558,13.324523104154146,7.558536933018611,0.17628538425152118,2.1477142561921583,0.007154626672890504,0.02692919388054048,0.43869272910152407,3.671204907336917,18.38158778363535,0.26916965813563387
2012Q1,87.0160658657324,72.4429682130897,86.7378749744761,85.1879504223524,76.90080396695,86.114686901656,12.967299960209774,12.961630703852727,7.335692347013033,0.16403107597277714,2.055877132822117,0.007227360834670392,0.026512939116273136,0.43019830376247054,3.4442121447893816,16.99888264204857,0.25765429663244005
2012Q2,88.8752106499529,73.286364359636,92.2847288118768,85.3825944562575,78.5838657210914,89.1212623492414,13.532479975773738,13.388415365952712,6.886924604269175,0.1688220012646455,2.1384639312351466,0.0076550623198637065,0.027290603118430002,0.4370598940338749,3.5477914404540303,17.36652226834755,0.2508787404681682
2012Q3,89.0150123225615,73.2954087864008,94.059413663119,88.6195873670863,78.4406316593841,90.9990361199171,13.15758766761193,13.217692272479718,6.483401511265681,0.16744446135484256,2.070974386493749,0.007341938988926336,0.027285619923357724,0.41200607290041896,3.30925455911315,16.450323443479796,0.2384004578200683
2012Q4,91.8059658497398,76.1019220763861,97.0613586910684,85.4157187525104,80.5529995902207,89.0825458298637,12.940246957721133,13.056954542795816,6.280512137846514,0.1596266155059521,2.070722476042264,0.007172252692339994,0.02711092066846139,0.41672038406481593,3.3691805880191774,16.78091227972585,0.23914980882588396
2013Q1,86.882013937636,75.285087628232,90.3739574818731,83.0255117242481,78.8358366554797,81.5213574427059,12.630343735218048,12.546685919165611,6.319670304656029,0.1372875003144145,2.0289213083464555,0.007055685015617633,0.026745706462945353,0.41578492137273154,3.412370934184149,16.67773104798604,0.23313635709976796
2013Q2,90.5005660136376,75.8108266669165,95.6214684255233,86.9712458132344,82.8366889178679,86.3114681187617,12.468075194725623,12.179053790752704,6.026936927208534,0.1262933850288391,2.026737428999197,0.006700496076950479,0.02576611862370654,0.3947268519693102,3.44113312523823,16.28244582903837,0.22387519790350754
2013Q3,90.0099163090037,76.4123688548579,99.0910957407189,86.1664582917609,80.0559461472297,92.1169694476323,12.89637026642308,12.412116672053482,5.636230288129864,0.13041712106628853,2.1087139913827144,0.0688886996256035,0.025445764376595018,0.3937957890688465,3.6047724135130608,17.088792059777592,0.20785556322668802
2013Q4,92.7022106436782,78.8054969083848,103.161120671016,85.7182051852628,82.0663472539377,89.9521508869452,13.016644737937234,12.408739350058816,5.719313628745802,0.1297412117322286,2.1400158056671055,0.0068068160502994315,0.025234992433939042,0.4003965937316689,3.6980310724960344,17.714829603745414,0.20988544466853964
2014Q1,89.0346502581287,82.1776489778146,93.7626400448819,84.1548095478069,79.2147655319382,84.2647506774714,13.223269999027252,11.998409405350685,5.583421863615513,0.12858968751970679,2.1720430798841677,0.006592489622789133,0.02401728597342638,0.3787531344731757,3.7895032277766534,18.118266477084852,0.21428481027272858
2014Q2,92.2895851890213,82.9370167677752,100.603587970221,87.7045065932638,83.4592158149276,92.6736187752426,12.990470622136042,11.907529229384203,5.817713869535006,0.12717584577890542,2.0879623581196145,0.006794917787890111,0.059870252827548126,0.37194760755845846,3.7543894239253945,17.820923202998156,0.21743776476930643
2014Q3,92.3691056481281,83.9431577335202,101.546577523457,90.2412786328403,82.3132208069844,99.5728686566571,13.119134671760328,12.051880301851215,5.765456084049109,0.1262530300653342,2.131311932464785,0.006971399644923765,0.02277444227913176,0.3633908711723404,3.7382220021885635,17.402454277818606,0.2167249727663263
2014Q4,95.4263438939753,88.3008636474309,103.557192444675,92.7913207310854,85.6366896554777,97.0936580533873,13.897047591931893,12.20951356309833,5.441525777180989,0.12137833327958078,2.263881883307474,0.015592935694091373,0.023239539577491544,0.2957862389717574,3.6356571536404667,17.358162381600096,0.2244456640707745
2015Q1,91.5825765306109,85.4533295601411,92.1587686932014,90.0580290150431,82.2808635192405,84.0945222397416,14.948066085577011,12.064540222287178,5.244515635073185,0.1253846874460578,2.400845929718262,0.025949610106548233,0.023972846070742834,0.23859138794301288,3.7947676663669476,16.860525003520273,0.24017535798577655
2015Q2,94.3221339581757,89.6925677281646,96.810358270655,93.3636360649322,84.5495026681423,94.5286890935175,15.319719725388747,12.455803973858172,4.981360010000375,0.12627569196315913,2.473401535083869,0.015266892490681068,0.024826078467427726,0.29131632170981825,3.961501339540607,16.940477302715433,0.24178010377470174
2015Q3,95.3370094368516,90.0685127262417,99.6348762341086,95.8867681304919,88.4223818095178,97.8209939262183,16.44182692152081,12.560461087660356,4.673842430114746,0.13447318293831564,2.6131392968884,0.005628563639394375,0.024349718267826143,0.26190256816574764,4.281192134799952,18.29061813283862,0.2531587629364976
2015Q4,97.3143568618699,92.3875810595331,100.194745918325,96.3543976626765,89.4538144476011,101.350668712334,16.760885643236566,12.55284682187167,4.354687871354999,0.13801227261622748,2.6265274630548476,0.013998077718934175,0.024041623210682272,0.2545584490924275,4.328563315727177,18.36325236631386,0.25438955495290083
2016Q1,93.0513345935618,89.3943853352219,92.8898225183013,91.901855443692,84.7919482338643,86.1619476995211,18.027009494488055,13.128288166339582,4.617369218973013,0.15637569244091326,2.759869257253044,0.013944591582076834,0.02581512759589912,0.614697142496931,4.620020291220113,19.886404971514175,0.2671203456337648
2016Q2,96.4451345907183,93.6512802561498,98.4820679916497,93.7728627675123,91.4893568963743,92.7384262723558,18.10043825002817,14.03267179635855,5.155496934744028,0.167468923330307,2.7752015371778085,0.006081080059526245,0.0268521060050074,0.2751692559687207,4.752055333403389,20.447164915122883,0.27065174510712486
2016Q3,96.1072265898628,92.7173376836812,100.812224881017,94.1480811087335,91.0477204593363,102.312605418532,18.75999913071141,14.372717423872514,5.773769696553548,0.1831471213337147,2.8154267555205843,0.006429421300223073,0.028580753126022047,0.29064908269883727,4.93831675171489,20.941184138267552,0.2803168565270572
2016Q4,99.5609214016839,97.9523836789844,102.943112803023,97.2190928152286,95.3885617818957,100.730279856826,19.840344883845404,14.84426137484037,6.004049271803636,0.18122999989069424,2.90553318527141,0.006634902360191996,0.09340494714076125,0.3150639865296095,5.189854247707433,21.392364663652973,0.2943224183906423
2017Q1,96.2086660870025,96.1693375413428,95.6127764054905,95.2263152000932,93.3070807548573,91.6198257738376,20.29165394122784,15.35605766589825,6.461618438133827,0.17871415408758018,2.946300485074218,0.006987759506676748,0.031130897309677857,0.34529031898683954,5.440298160976576,21.615579200154542,0.3028500219796506
2017Q2,97.8183489785918,95.502586189319,97.8656335621036,95.4517271571987,96.0787671338122,96.3954800161144,18.549059706467848,13.794995718735915,5.781618455740122,0.16704138402755445,2.7039811862473484,0.006369564314206977,0.028026901873516183,0.3245798845050807,5.171779842154609,20.406313225267212,0.2877586245768961
2017Q3,97.258396024852,95.9950295136729,101.174401766093,96.6570258734228,96.8442729065009,101.007953029814,17.815854674119215,14.210858836770058,5.631364624316876,0.16059249942190945,2.6718151771500374,0.0060085453342567366,0.02780690138165492,0.30247883799064407,5.008521788791695,20.94087842551809,0.2771923040335631
2017Q4,101.071861006352,95.1246355418674,100.01059261027,99.9276792473136,100.739447759957,100.42607213039,18.981008470975436,14.922790825366974,5.83976249396801,0.16783468727953732,2.868789104104948,0.006400856067882284,0.030104760422387317,0.3252370205615383,5.412979082596383,22.34771267393895,0.29330775773372697
2018Q1,97.2390099061888,97.6991992693215,94.6622582761063,98.4292378715035,97.5280717833512,93.2078880893734,18.72523571894719,14.836122175363395,5.776841545104981,0.17290584582548876,2.9429985671822196,0.006572990825112448,0.031132994845005164,0.3293346713881447,5.416431546807145,23.001391698942953,0.2910838266011199
2018Q2,100.699221184514,98.6564232791309,97.7529027597879,100.07505356476,102.364782828319,99.0943853955511,19.379603547316332,15.017755508422852,5.385159984001747,0.17759692325041845,3.0399849404172894,0.006838219119967958,0.031225105399506726,0.3130708592154784,5.423770677142199,23.096126757747662,0.2889635396826084
2018Q3,99.9348494318798,100.455514995146,102.713549481758,100.769636881867,97.9472865136736,105.139840630901,18.962200604952297,14.507556313734788,4.811132306319017,0.17019369189555827,2.788805854089448,0.006421357408861235,0.02862961416274187,0.2897544529920102,5.224544540512354,22.055335531681088,0.270531953716139
2018Q4,102.126919477418,103.188862456402,104.871289482348,100.72607168187,102.159858874656,102.557885884175,19.80633935061368,15.003683697093617,5.197686368768865,0.17560560662638058,2.86448950135075,0.006270846803502975,0.0291534475526773,0.2977695841583644,5.349965703594876,22.602673029554577,0.2743765896158593
2019Q1,98.1330408112311,96.3898475353755,96.1185771427672,98.6391376686765,94.7779091063903,89.4359863807625,19.196797758340836,14.438804745674133,5.097110956907272,0.17436499893665314,2.843493977835051,0.006135082604446654,0.028796855146997008,0.29109675496108806,5.26684805280796,21.81707222076074,0.272092603132514
2019Q2,99.6431984801725,100.592335729125,100.798157687452,99.4757119783224,97.2539481373725,94.3867268261179,19.109373152256012,14.283336932842548,4.874623078566331,0.17379921837709844,2.8034094336209043,0.005912529787158783,0.027979049997768884,0.2960632481457679,5.317929880584333,21.47199192391053,0.2743116968034658
2019Q3,99.4256677890539,101.421446960425,101.712972921957,100.418338140989,95.2211508739137,101.4260671925,19.42338463754365,14.717512130737305,4.901566657153043,0.1810356051181302,2.7704192045232032,0.005835995585093603,0.027551787071651082,0.30076870476313444,5.510553428440984,21.61083711881003,0.27546830201393835
2019Q4,101.045637888626,103.247283849294,101.746793336249,99.7880316429305,96.1901639948226,99.9022739771599,19.251146489923652,14.585116227467855,4.675011909369267,0.1771194844534903,2.7319320504032634,0.005667170941608966,0.02551056808846599,0.3022309933331946,5.514328117608094,21.31133259785811,0.27011679843194936
2020Q1,96.8595668850656,98.7957701366594,93.5122283734996,96.7628291657371,94.0321660219926,92.4801145560855,19.953020271888146,14.834555508540227,4.47774119743934,0.18332053835575396,2.8573796881513185,0.005651683572376748,0.02483446453494415,0.299130940372604,5.696651822578853,22.01672138835062,0.2747716947876124
2020Q2,80.0050395330381,77.3063950945377,85.5713366108173,78.1686794533074,75.7485602633251,78.4453429001084,23.33539918752817,16.82631078866812,4.349720008556659,0.2169731229543686,3.293738231910689,0.006070922874482536,0.028339210069822394,0.32213447151983304,6.644576665250103,25.6823335607423,0.30676767800332466
2020Q3,91.6109458289057,96.3930601089084,95.8976686991447,91.59138764092,94.1495258516994,101.053541200823,22.085837971080434,16.578364820191354,4.11083342812278,0.2080107873136347,3.191361584685058,0.005927484641017345,0.028290803463217155,0.3002231029130174,6.464844455037092,25.806234223420187,0.29656732520872303
2020Q4,97.7600738304318,103.340975644121,96.0907725161806,96.2937313773599,95.7506312695712,99.5086486000224,20.56116719679399,15.771261590899844,3.8068981170654297,0.19676010559002557,3.102652558347612,0.005625000408613943,0.02704879686083045,0.27005732229562995,6.167991183605188,24.510799320435947,0.278394619884197
2021Q1,94.5762521312882,99.8076885970222,93.1669365635575,93.3690739382885,91.2814836451209,88.3972664514978,20.331254690885544,16.05761769413948,3.717307649552822,0.19192685978487134,3.1367043246484396,0.005727004817617294,0.028129870432204013,0.27321755673975584,6.2195026050286355,24.512738505846244,0.27886000399542726
2021Q2,97.6347807389738,97.1746559674314,98.19448975564,94.0412997454251,95.8696133512892,95.7939107894086,20.020138696523812,16.29849451505221,3.7797661487872785,0.1828993389239678,3.099681036848783,0.005424476398047256,0.02796903563128382,0.2698359346884677,6.135858299061614,24.126136419938998,0.2714328142856403
2021Q3,95.956533321779,92.2067709602277,100.33292579733,95.8504462049847,90.7432334532055,103.723654657427,20.01405597455574,15.89630956360788,3.832744258822817,0.1818098635836081,3.093727963144176,0.005210710498602377,0.02594324973033307,0.2724471406843434,6.191194212917884,23.59836559444329,0.27012316703537476
2021Q4,99.1707048276791,95.9155636803037,100.503323131052,94.2843249651111,93.0210940723495,102.504200727933,20.742931365966797,16.45753629279859,3.7151631947719688,0.18242936378175562,3.2450427143276883,0.005350918602342684,0.025156514544998357,0.2855290019188733,6.577566917426208,23.720093751760327,0.27680407922041145
2022Q1,96.847919431298,95.3657208540044,93.1201243410698,92.0512536467961,91.9590392864534,90.5023636395588,20.509351074695587,16.19228297472,3.9242575131356716,0.17646435997448862,3.2317078655983433,0.0052542722421477445,0.025407358369996254,0.2383962733825367,6.419129605486318,23.013612894322574,0.2726990774322113
2022Q2,100.219638737612,97.0181759106205,96.8033777009306,96.5696080998745,97.3943453897297,98.4562312578655,20.020446513249325,15.692268283550556,4.080075392356286,0.15452589278037732,3.0324234065542552,0.005113864437761444,0.023798799762815185,0.29954695684693233,5.9940328918251025,21.332722903822006,0.2594920665071138
2022Q3,100.346679675788,95.9561446781254,99.3880298093707,97.300142417282,95.1719039005544,105.602879914742,20.228889898820356,15.50991185506185,3.8588045076890425,0.1464459692889994,2.9568938705270873,0.004619075065729799,0.02179964124283957,0.33535575463449563,5.954139979640478,20.385998038225175,0.25368859826639495
2022Q4,103.73991960147,96.0096764299698,98.7417611982405,98.3710548659918,98.2030044889746,101.908811903374,19.67065086364746,14.49298823429988,3.7388767572549675,0.13923332324394813,2.76570186939879,0.00409543528801362,0.021548328714007487,0.31356799686237224,5.639264038228504,20.074337029931247,0.2395480857967145
2023Q1,100.335773018808,98.1388947397105,95.8270599119787,95.8599485544975,99.2535083494198,99.0871025791188,18.664402536245493,13.80662141946646,3.592591934937697,0.14112835365992327,2.7284463404078156,0.003934310658461935,0.023077444997370095,0.30994845188118847,5.2905523967922115,20.03362617750828,0.22704950278411026
2023Q2,103.452317153687,101.899946439326,100.575732644509,97.9507345800812,102.481869243691,102.573963512986,17.679632627047024,13.165284142127405,3.5711378427652214,0.12894532290788796,2.523599214237353,0.003998621534482297,0.022099893142363415,0.2181027448727918,4.848045070285669,19.253824128842293,0.21519478896742048
2023Q3,103.664939947084,103.694536604924,101.521733802118,102.23831291357,105.442540188772,104.157690113629,17.05462802006648,12.719887043879583,3.4928384524125318,0.11807827685887996,2.3577236419645295,0.004219016644139467,0.020048743360375976,0.18135905446179343,4.561329681482535,18.56306543965364,0.2062769631641248
2023Q4,105.91777573661,103.198598034624,101.712359778137,103.505158253813,103.355058858082,100.685717337752,17.554475373488206,12.893363395104041,3.539905339020949,0.11871904627634929,2.437556399939433,0.004317514988966256,0.019639645658241164,0.1890973874435385,4.598824073275441,18.88068264123002,0.21082611505355878
2024Q1,102.030686373185,97.6978516973679,100.019088507448,98.1170446879225,102.208087944062,100.144393515075,16.97871598463792,12.600601768493652,3.428793826470008,0.11456778473578967,2.3745000320454865,0.004347136230150935,0.018058005859733692,0.1868348220423043,4.639456573183272,18.444644364754808,0.20445043522559134
2024Q2,105.584144087684,101.252684602454,107.623134486824,101.794128802129,105.263586797686,104.915036689126,17.214654541015626,12.586554204500638,3.305335367642916,0.11053403088679681,2.3778552331087,0.004388986713420298,0.018471511167462956,0.18975795452255587,4.6234810732691844,18.53703010929921,0.20635864688800715
2024Q3,105.135367842073,99.9721052055696,106.554397829743,103.478023534747,103.610087509293,112.803365015028,18.921703309723824,13.873432896353982,3.4099899060798413,0.1270380002079588,2.641079225367802,0.0046210961155554306,0.020344684194673737,0.21281812295581382,5.096852724548152,20.7870444856829,0.22590152150920204
2024Q4,106.16699515402,100.316324762993,104.505692129705,101.645723925729,103.272602628416,109.794960542954,20.054918699998122,14.350928013141338,3.4428147315979003,0.13181229348366078,2.79108415327817,0.004623070372352612,0.02091902039953076,0.2011922592980716,5.420758083077226,21.418403466538738,0.2375388862654366
